NAME,STATE,homeless
Alabama,AL,3793
Alaska,AK,1845
Arizona,AZ,8947
Arkansas,AR,2467
California,CA,134278
Colorado,CO,10940
Connecticut,CT,3388
Delaware,DE,994
District of Columbia,DC,7473
Florida,FL,32190
Georgia,GA,10174
Hawaii,HI,7220
Idaho,ID,2037
Illinois,IL,10798
Indiana,IN,5438
Iowa,IA,2756
Kansas,KS,2098
Kentucky,KY,4025
Louisiana,LA,3305
Maine,ME,2280
Maryland,MD,7247
Massachusetts,MA,17565
Michigan,MI,9051
Minnesota,MN,7668
Mississippi,MS,1472
Missouri,MO,6226
Montana,MT,1529
Nebraska,NE,2501
Nevada,NV,7833
New Hampshire,NH,1456
New Jersey,NJ,8536
New Mexico,NM,2482
New York,NY,89503
North Carolina,NC,8962
North Dakota,ND,1089
Ohio,OH,10095
Oklahoma,OK,4199
Oregon,OR,13953
Pennsylvania,PA,14138
Rhode Island,RI,1180
South Carolina,SC,3916
South Dakota,SD,943
Tennessee,TN,8309
Texas,TX,23548
Utah,UT,2852
Vermont,VT,1225
Virginia,VA,6067
Washington,WA,21112
West Virginia,WV,1309
Wisconsin,WI,5027
Wyoming,WY,873
