NAME,STATE,Homeless 2010,Homeless 2011,Homeless 2012,Homeless 2013,Homeless 2014,Homeless 2015,Homeless 2016,Homeless 2017
Alaska,AK,1863,2128,1913,1946,1784,1956,1940,1845
Alabama,AL,6046,5558,5209,4689,4561,3970,4111,3793
Arkansas,AR,2762,3424,4214,3812,2936,2560,2463,2467
Arizona,AZ,13711,10504,11302,10562,10495,9896,9707,8947
California,CA,123480,125128,120098,118552,113952,115738,118142,134278
Colorado,CO,15482,15116,16768,9754,10028,9953,10550,10940
Connecticut,CT,4316,4456,4209,4448,4450,4047,3902,3388
District of Columbia,DC,6539,6546,6954,6865,7748,7298,8350,7473
Delaware,DE,982,1035,1008,946,901,953,1070,994
Florida,FL,57551,56687,55170,47862,41542,35900,33559,32190
Georgia,GA,19836,20975,20516,16971,16521,13790,12909,10174
Hawaii,HI,5834,6188,6246,6335,6918,7620,7921,7220
Iowa,IA,3014,3134,2928,3084,3122,3081,3064,2756
Idaho,ID,2346,2199,1968,1781,2104,1966,2247,2037
Illinois,IL,14395,14009,14144,13425,13107,13177,11590,10798
Indiana,IN,6452,6196,6259,6096,5971,5863,5798,5438
Kansas,KS,1809,2308,2458,2331,2521,2348,2008,2098
Kentucky,KY,6623,6034,5230,5245,5089,4538,4237,4025
Louisiana,LA,12482,9291,7772,5226,4606,4081,3994,3305
Massachusetts,MA,16646,16664,17501,19029,21237,21135,19608,17565
Maryland,MD,10845,10208,9454,8205,7856,8390,7689,7247
Maine,ME,2379,2447,2393,3016,2726,2372,2241,2280
Michigan,MI,13058,13185,12592,11527,12227,10516,9316,9051
Minnesota,MN,7869,7495,7744,8214,8377,7546,7341,7668
Missouri,MO,8337,9192,10463,8943,7544,6722,6441,6226
Mississippi,MS,2743,2306,2413,2403,2226,1983,1738,1472
Montana,MT,1615,1768,1833,1878,1745,1709,1418,1529
North Carolina,NC,12191,12896,13524,12168,11491,10685,9559,8962
North Dakota,ND,799,603,688,2069,1258,1305,923,1089
Nebraska,NE,3877,3548,3789,3145,3026,2744,2754,2501
New Hampshire,NH,1574,1469,1496,1447,1376,1445,1366,1456
New Jersey,NJ,13737,14137,13025,12002,11671,10098,8895,8536
New Mexico,NM,3475,3601,3245,2819,2746,2629,2263,2482
Nevada,NV,11205,9150,8497,7039,8582,8743,7398,7833
New York,NY,65606,63445,69566,77430,80590,88250,86352,89503
Ohio,OH,12569,13030,13977,12325,11823,11182,10404,10095
Oklahoma,OK,5229,4625,5032,4408,4191,3777,4107,4199
Oregon,OR,19492,17254,15828,13822,12164,13226,13238,13953
Pennsylvania,PA,14516,15096,14736,15086,15333,15421,15339,14138
Rhode Island,RI,1282,1070,1277,1384,1190,1111,1160,1180
South Carolina,SC,4473,5093,4915,6544,5057,5354,5051,3916
South Dakota,SD,731,826,859,1094,885,1036,1072,943
Tennessee,TN,10276,9113,9426,9528,9415,9123,8779,8309
Texas,TX,35121,36911,34052,29615,28495,23678,23122,23548
Utah,UT,3284,3130,3527,3277,3081,3025,2807,2852
Virginia,VA,9080,8816,8424,7625,7020,7001,6268,6067
Vermont,VT,1220,1144,1160,1454,1559,1523,1117,1225
Washington,WA,22878,20439,20504,17760,18442,19419,20827,21112
Wisconsin,WI,6333,5785,6027,6104,6055,6057,5685,5027
West Virginia,WV,2264,2211,2410,2240,2013,1835,1387,1309
Wyoming,WY,579,1038,1813,953,757,798,857,873
